Source,Target,Type,edgeid,weight
1,2,undirected,1,0.7274
1,3,undirected,2,0.6321
1,4,undirected,3,0.5297
1,5,undirected,4,0.5866
1,6,undirected,5,0.3945
1,7,undirected,6,0.5649
1,8,undirected,7,0.4760
1,13,undirected,12,0.3963
1,16,undirected,15,0.2755
1,23,undirected,22,0.3317
1,26,undirected,25,0.3812
1,65,undirected,64,0.2510
1,66,undirected,65,0.2677
1,72,undirected,71,0.3027
1,77,undirected,76,0.3494
1,78,undirected,77,0.4402
1,79,undirected,78,0.2611
1,80,undirected,79,0.2968
1,81,undirected,80,0.4147
1,82,undirected,81,0.3873
1,84,undirected,83,0.4069
1,85,undirected,84,0.3549
1,88,undirected,87,0.3895
1,89,undirected,88,0.3517
1,93,undirected,92,0.2771
1,94,undirected,93,0.2775
2,3,undirected,100,0.6360
2,4,undirected,101,0.6036
2,5,undirected,102,0.7327
2,6,undirected,103,0.4699
2,7,undirected,104,0.5007
2,8,undirected,105,0.5254
2,12,undirected,109,0.3168
2,13,undirected,110,0.5281
2,14,undirected,111,0.3970
2,16,undirected,113,0.3668
2,22,undirected,119,0.3173
2,23,undirected,120,0.4823
2,26,undirected,123,0.3262
2,33,undirected,130,0.3703
2,64,undirected,161,0.2779
2,65,undirected,162,0.3730
2,66,undirected,163,0.3354
2,72,undirected,169,0.4195
2,73,undirected,170,0.3580
2,74,undirected,171,0.2761
2,77,undirected,174,0.3233
2,78,undirected,175,0.4371
2,80,undirected,177,0.2767
2,81,undirected,178,0.4624
2,82,undirected,179,0.3922
2,84,undirected,181,0.3677
2,85,undirected,182,0.3460
2,88,undirected,185,0.4409
2,89,undirected,186,0.4165
2,94,undirected,191,0.2999
3,4,undirected,198,0.5940
3,5,undirected,199,0.4806
3,6,undirected,200,0.4506
3,7,undirected,201,0.4072
3,8,undirected,202,0.3340
3,10,undirected,204,0.2863
3,13,undirected,207,0.2942
3,14,undirected,208,0.3450
3,17,undirected,211,0.2699
3,32,undirected,226,0.2640
3,33,undirected,227,0.2805
3,78,undirected,272,0.3222
3,79,undirected,273,0.2820
3,80,undirected,274,0.3133
3,81,undirected,275,0.3583
3,82,undirected,276,0.2693
3,85,undirected,279,0.2985
3,88,undirected,282,0.2840
3,89,undirected,283,0.2794
3,93,undirected,287,0.2802
3,94,undirected,288,0.2890
4,5,undirected,295,0.7372
4,6,undirected,296,0.5900
4,7,undirected,297,0.2507
4,8,undirected,298,0.2750
4,12,undirected,302,0.2878
4,13,undirected,303,0.3693
4,14,undirected,304,0.4560
4,22,undirected,312,0.2818
4,23,undirected,313,0.3931
4,32,undirected,322,0.3165
4,33,undirected,323,0.4334
4,65,undirected,355,0.3253
4,66,undirected,356,0.2728
4,72,undirected,362,0.2590
4,78,undirected,368,0.2602
4,79,undirected,369,0.2778
4,80,undirected,370,0.4216
4,81,undirected,371,0.4780
4,82,undirected,372,0.4739
4,88,undirected,378,0.3074
4,89,undirected,379,0.2625
5,6,undirected,391,0.6119
5,7,undirected,392,0.3076
5,8,undirected,393,0.4765
5,9,undirected,394,0.2646
5,12,undirected,397,0.4428
5,13,undirected,398,0.5788
5,14,undirected,399,0.4341
5,16,undirected,401,0.3318
5,22,undirected,407,0.3653
5,23,undirected,408,0.5301
5,25,undirected,410,0.3552
5,26,undirected,411,0.2813
5,32,undirected,417,0.3594
5,33,undirected,418,0.5072
5,65,undirected,450,0.5218
5,66,undirected,451,0.3810
5,72,undirected,457,0.4316
5,73,undirected,458,0.3870
5,77,undirected,462,0.2703
5,78,undirected,463,0.3666
5,80,undirected,465,0.3544
5,81,undirected,466,0.5632
5,82,undirected,467,0.5103
5,84,undirected,469,0.3780
5,85,undirected,470,0.2619
5,88,undirected,473,0.4947
5,89,undirected,474,0.4662
6,13,undirected,492,0.3510
6,14,undirected,493,0.4441
6,22,undirected,501,0.2900
6,23,undirected,502,0.3459
6,32,undirected,511,0.3402
6,33,undirected,512,0.3997
6,36,undirected,515,-0.2705
6,65,undirected,544,0.3170
6,80,undirected,559,0.2552
6,81,undirected,560,0.3469
6,82,undirected,561,0.4474
6,88,undirected,567,0.2923
7,8,undirected,580,0.2932
7,13,undirected,585,0.2605
7,22,undirected,594,0.3022
7,23,undirected,595,0.2663
7,26,undirected,598,0.2649
7,53,undirected,625,-0.2690
7,77,undirected,649,0.2542
8,9,undirected,673,0.5752
8,10,undirected,674,0.3165
8,11,undirected,675,0.3769
8,12,undirected,676,0.5558
8,13,undirected,677,0.6513
8,14,undirected,678,0.2766
8,16,undirected,680,0.5167
8,17,undirected,681,0.4123
8,22,undirected,686,0.4139
8,23,undirected,687,0.3882
8,26,undirected,690,0.3654
8,29,undirected,693,0.2977
8,30,undirected,694,0.2721
8,33,undirected,697,0.3024
8,64,undirected,728,0.2736
8,65,undirected,729,0.4097
8,66,undirected,730,0.3882
8,71,undirected,735,0.3872
8,72,undirected,736,0.4414
8,73,undirected,737,0.3923
8,76,undirected,740,0.3855
8,78,undirected,742,0.5014
8,79,undirected,743,0.2894
8,80,undirected,744,0.2903
8,81,undirected,745,0.4301
8,82,undirected,746,0.2813
8,84,undirected,748,0.5646
8,85,undirected,749,0.5870
8,87,undirected,751,0.2792
8,88,undirected,752,0.5694
8,89,undirected,753,0.5578
8,94,undirected,758,0.3244
9,10,undirected,765,0.3539
9,11,undirected,766,0.4208
9,12,undirected,767,0.5803
9,13,undirected,768,0.4174
9,16,undirected,771,0.3670
9,17,undirected,772,0.3183
9,18,undirected,773,0.3173
9,20,undirected,775,0.3473
9,21,undirected,776,0.2774
9,22,undirected,777,0.2995
9,27,undirected,782,0.2756
9,29,undirected,784,0.3471
9,30,undirected,785,0.3583
9,57,undirected,812,0.2519
9,65,undirected,820,0.3174
9,66,undirected,821,0.3151
9,71,undirected,826,0.2924
9,72,undirected,827,0.3001
9,76,undirected,831,0.2963
9,84,undirected,839,0.4208
9,85,undirected,840,0.4536
9,87,undirected,842,0.2535
9,88,undirected,843,0.4140
9,89,undirected,844,0.3655
9,94,undirected,849,0.2619
10,11,undirected,856,0.6242
10,12,undirected,857,0.2980
10,19,undirected,864,0.2887
10,20,undirected,865,0.2739
10,35,undirected,880,0.2709
10,42,undirected,887,0.3638
10,61,undirected,906,-0.2901
10,69,undirected,914,-0.2718
10,85,undirected,930,0.3444
10,86,undirected,931,0.4315
10,87,undirected,932,0.4292
10,88,undirected,933,0.2665
10,93,undirected,938,0.3378
10,94,undirected,939,0.3158
10,95,undirected,940,0.3085
10,98,undirected,943,0.2610
11,12,undirected,946,0.4328
11,17,undirected,951,0.2901
11,20,undirected,954,0.2804
11,41,undirected,975,0.3613
11,42,undirected,976,0.3570
11,62,undirected,996,-0.2537
11,85,undirected,1019,0.3964
11,86,undirected,1020,0.3690
11,87,undirected,1021,0.4147
11,88,undirected,1022,0.3222
11,93,undirected,1027,0.3500
11,95,undirected,1029,0.2679
11,97,undirected,1031,0.2958
11,98,undirected,1032,0.3114
12,13,undirected,1035,0.6619
12,16,undirected,1038,0.3895
12,17,undirected,1039,0.3629
12,20,undirected,1042,0.2964
12,21,undirected,1043,0.3888
12,22,undirected,1044,0.5109
12,23,undirected,1045,0.3196
12,29,undirected,1051,0.2784
12,30,undirected,1052,0.3476
12,32,undirected,1054,0.3295
12,33,undirected,1055,0.3296
12,65,undirected,1087,0.4642
12,66,undirected,1088,0.3775
12,71,undirected,1093,0.3771
12,72,undirected,1094,0.3599
12,73,undirected,1095,0.4148
12,76,undirected,1098,0.2991
12,81,undirected,1103,0.3497
12,84,undirected,1106,0.4331
12,85,undirected,1107,0.4600
12,87,undirected,1109,0.4770
12,88,undirected,1110,0.6766
12,89,undirected,1111,0.5337
12,94,undirected,1116,0.3101
12,97,undirected,1119,0.2529
12,98,undirected,1120,0.3222
13,14,undirected,1123,0.3296
13,16,undirected,1125,0.3384
13,17,undirected,1126,0.2584
13,21,undirected,1130,0.2652
13,22,undirected,1131,0.5943
13,23,undirected,1132,0.6008
13,26,undirected,1135,0.2898
13,28,undirected,1137,0.2515
13,29,undirected,1138,0.3462
13,30,undirected,1139,0.4263
13,32,undirected,1141,0.3170
13,33,undirected,1142,0.3762
13,56,undirected,1165,0.2563
13,57,undirected,1166,0.3108
13,64,undirected,1173,0.4026
13,65,undirected,1174,0.6420
13,66,undirected,1175,0.5888
13,67,undirected,1176,0.3732
13,71,undirected,1180,0.5388
13,72,undirected,1181,0.5794
13,73,undirected,1182,0.6725
13,74,undirected,1183,0.2978
13,75,undirected,1184,0.2871
13,76,undirected,1185,0.4954
13,77,undirected,1186,0.2832
13,78,undirected,1187,0.4266
13,79,undirected,1188,0.2634
13,80,undirected,1189,0.4154
13,81,undirected,1190,0.6178
13,82,undirected,1191,0.3287
13,84,undirected,1193,0.5618
13,85,undirected,1194,0.4970
13,87,undirected,1196,0.2838
13,88,undirected,1197,0.6931
13,89,undirected,1198,0.6912
13,94,undirected,1203,0.2848
14,17,undirected,1212,0.2781
14,22,undirected,1217,0.4750
14,23,undirected,1218,0.4927
14,32,undirected,1227,0.3695
14,33,undirected,1228,0.3892
14,85,undirected,1280,0.2503
14,88,undirected,1283,0.2538
14,89,undirected,1284,0.3501
15,25,undirected,1305,0.3954
15,49,undirected,1329,0.2933
16,17,undirected,1381,0.4535
16,22,undirected,1386,0.4111
16,23,undirected,1387,0.4045
16,26,undirected,1390,0.4239
16,27,undirected,1391,0.3003
16,36,undirected,1400,0.2674
16,60,undirected,1424,-0.2666
16,65,undirected,1429,0.2625
16,72,undirected,1436,0.2505
16,76,undirected,1440,0.2569
16,78,undirected,1442,0.3189
16,84,undirected,1448,0.3857
16,85,undirected,1449,0.4664
16,88,undirected,1452,0.3914
16,89,undirected,1453,0.2938
17,18,undirected,1465,0.3091
17,22,undirected,1469,0.4428
17,23,undirected,1470,0.2856
17,27,undirected,1474,0.2594
17,28,undirected,1475,0.3021
17,60,undirected,1507,-0.2944
17,61,undirected,1508,-0.2938
17,85,undirected,1532,0.4237
17,86,undirected,1533,0.2932
17,87,undirected,1534,0.2654
17,88,undirected,1535,0.2876
17,89,undirected,1536,0.2999
17,93,undirected,1540,0.3252
17,94,undirected,1541,0.2730
17,97,undirected,1544,0.2591
17,98,undirected,1545,0.2712
18,19,undirected,1548,0.3375
18,20,undirected,1549,0.3629
18,21,undirected,1550,0.4516
18,29,undirected,1558,0.3364
18,30,undirected,1559,0.2879
19,20,undirected,1630,0.5797
19,21,undirected,1631,0.3852
19,29,undirected,1639,0.3765
19,30,undirected,1640,0.3089
19,31,undirected,1641,0.2886
19,54,undirected,1664,-0.2745
19,87,undirected,1697,0.3181
19,88,undirected,1698,0.3189
19,95,undirected,1705,0.3097
19,97,undirected,1707,0.2562
20,21,undirected,1711,0.4387
20,28,undirected,1718,0.2811
20,29,undirected,1719,0.5043
20,30,undirected,1720,0.5029
20,31,undirected,1721,0.4011
20,85,undirected,1775,0.3202
20,87,undirected,1777,0.3342
20,88,undirected,1778,0.3098
20,89,undirected,1779,0.2934
20,95,undirected,1785,0.2831
20,96,undirected,1786,0.3018
20,97,undirected,1787,0.3142
21,22,undirected,1791,0.3414
21,29,undirected,1798,0.3424
21,30,undirected,1799,0.3493
21,31,undirected,1800,0.3666
21,88,undirected,1857,0.3676
21,97,undirected,1866,0.4124
22,23,undirected,1870,0.6035
22,26,undirected,1873,0.2899
22,30,undirected,1877,0.2839
22,32,undirected,1879,0.4407
22,33,undirected,1880,0.4159
22,41,undirected,1888,0.3600
22,65,undirected,1912,0.2712
22,73,undirected,1920,0.2635
22,81,undirected,1928,0.3005
22,84,undirected,1931,0.3055
22,85,undirected,1932,0.3770
22,87,undirected,1934,0.2793
22,88,undirected,1935,0.5482
22,89,undirected,1936,0.5703
22,91,undirected,1938,-0.2624
22,92,undirected,1939,0.2705
22,93,undirected,1940,0.3037
22,97,undirected,1944,0.3151
22,98,undirected,1945,0.4796
23,26,undirected,1950,0.3436
23,27,undirected,1951,0.2719
23,28,undirected,1952,0.2728
23,32,undirected,1956,0.3980
23,33,undirected,1957,0.5129
23,64,undirected,1988,0.3126
23,65,undirected,1989,0.4669
23,66,undirected,1990,0.3584
23,71,undirected,1995,0.3487
23,72,undirected,1996,0.4250
23,73,undirected,1997,0.3517
23,76,undirected,2000,0.3188
23,81,undirected,2005,0.2916
23,84,undirected,2008,0.3444
23,85,undirected,2009,0.2678
23,88,undirected,2012,0.4512
23,89,undirected,2013,0.4696
23,98,undirected,2022,0.2517
24,34,undirected,2034,0.5519
24,58,undirected,2058,-0.3307
24,63,undirected,2063,-0.3143
24,82,undirected,2082,0.2546
25,77,undirected,2152,0.3755
26,27,undirected,2176,0.3633
26,33,undirected,2182,0.3397
26,36,undirected,2185,0.2529
26,65,undirected,2214,0.2630
26,78,undirected,2227,0.2900
26,84,undirected,2233,0.4876
26,85,undirected,2234,0.4317
26,88,undirected,2237,0.3886
26,89,undirected,2238,0.3438
26,92,undirected,2241,0.2727
26,93,undirected,2242,0.3630
26,94,undirected,2243,0.2827
27,28,undirected,2250,0.3005
27,33,undirected,2255,0.2728
27,35,undirected,2257,0.2707
27,36,undirected,2258,0.4090
27,58,undirected,2280,0.2717
27,74,undirected,2296,-0.2978
27,82,undirected,2304,-0.2874
27,93,undirected,2315,0.3083
27,97,undirected,2319,0.2772
28,29,undirected,2323,0.4213
28,30,undirected,2324,0.2700
28,37,undirected,2331,0.4313
28,65,undirected,2359,0.3132
28,66,undirected,2360,0.2930
28,71,undirected,2365,0.2547
28,72,undirected,2366,0.3650
28,73,undirected,2367,0.3158
28,76,undirected,2370,0.3053
28,84,undirected,2378,0.3134
28,85,undirected,2379,0.3578
28,88,undirected,2382,0.3082
28,94,undirected,2388,0.3289
28,97,undirected,2391,0.2617
29,30,undirected,2395,0.5808
29,31,undirected,2396,0.2548
29,65,undirected,2430,0.2948
29,72,undirected,2437,0.3231
29,73,undirected,2438,0.3578
29,84,undirected,2449,0.3324
29,85,undirected,2450,0.2918
29,88,undirected,2453,0.3639
29,96,undirected,2461,0.2520
30,31,undirected,2466,0.4168
30,39,undirected,2474,0.2918
30,40,undirected,2475,0.2792
30,44,undirected,2479,0.3029
30,45,undirected,2480,0.3280
30,48,undirected,2483,0.3220
30,50,undirected,2485,0.2704
30,65,undirected,2500,0.2588
30,67,undirected,2502,0.3002
30,73,undirected,2508,0.3515
30,74,undirected,2509,0.2889
