Source,Target,Type,edgeid,weight
30,81,undirected,2516,0.2647
30,88,undirected,2523,0.3044
30,90,undirected,2525,0.2552
30,95,undirected,2530,0.3119
30,96,undirected,2531,0.3575
31,90,undirected,2594,0.2752
31,96,undirected,2600,0.2818
32,33,undirected,2605,0.5446
32,41,undirected,2613,0.4238
32,88,undirected,2660,0.3919
32,89,undirected,2661,0.4418
32,97,undirected,2669,0.3106
32,98,undirected,2670,0.3635
33,41,undirected,2680,0.3276
33,42,undirected,2681,0.2800
33,65,undirected,2704,0.3602
33,66,undirected,2705,0.2839
33,72,undirected,2711,0.2861
33,84,undirected,2723,0.2650
33,88,undirected,2727,0.3384
33,89,undirected,2728,0.3716
33,92,undirected,2731,0.2676
33,97,undirected,2736,0.2601
33,98,undirected,2737,0.2698
34,58,undirected,2763,-0.3610
34,63,undirected,2768,-0.2604
34,75,undirected,2780,-0.2706
34,79,undirected,2784,0.4141
34,81,undirected,2786,0.2561
34,82,undirected,2787,0.4575
34,90,undirected,2795,0.3871
34,100,undirected,2805,0.3008
35,36,undirected,2806,0.3326
35,42,undirected,2812,0.2500
35,93,undirected,2863,0.2517
36,53,undirected,2887,0.2548
36,82,undirected,2916,-0.3647
36,92,undirected,2926,0.2826
36,93,undirected,2927,0.2870
36,98,undirected,2932,0.2837
37,66,undirected,2963,0.2904
37,73,undirected,2970,0.2579
37,85,undirected,2982,0.2691
37,88,undirected,2985,0.2679
38,39,undirected,2998,0.3677
38,43,undirected,3002,0.2675
38,59,undirected,3018,0.2669
38,61,undirected,3020,0.3494
38,62,undirected,3021,0.3336
39,59,undirected,3079,0.2577
39,61,undirected,3081,0.2625
39,74,undirected,3094,0.2528
40,85,undirected,3165,0.2900
40,96,undirected,3176,0.2811
41,42,undirected,3181,0.4399
41,78,undirected,3217,0.2808
41,79,undirected,3218,0.2711
41,80,undirected,3219,0.3060
41,81,undirected,3220,0.3215
41,83,undirected,3222,0.3223
41,87,undirected,3226,0.2843
41,88,undirected,3227,0.3144
41,89,undirected,3228,0.3106
41,93,undirected,3232,0.2579
41,97,undirected,3236,0.2778
41,98,undirected,3237,0.4201
41,99,undirected,3238,0.3412
42,87,undirected,3284,0.2639
42,99,undirected,3296,0.2704
43,44,undirected,3298,0.2713
43,46,undirected,3300,0.4051
43,60,undirected,3314,0.2820
43,79,undirected,3333,0.2720
43,90,undirected,3344,0.4152
43,91,undirected,3345,0.3859
44,45,undirected,3355,0.4420
44,51,undirected,3361,0.3870
44,52,undirected,3362,0.2711
44,61,undirected,3371,0.3092
44,62,undirected,3372,0.3101
44,86,undirected,3396,-0.2716
44,92,undirected,3402,0.2509
45,52,undirected,3417,0.2655
46,91,undirected,3510,0.2992
47,48,undirected,3520,0.2942
47,57,undirected,3529,0.3591
47,58,undirected,3530,0.3179
47,66,undirected,3538,0.2695
47,73,undirected,3545,0.2691
48,49,undirected,3573,0.4115
48,55,undirected,3579,0.3612
48,57,undirected,3581,0.3060
48,58,undirected,3582,0.3179
48,59,undirected,3583,0.2663
48,62,undirected,3586,0.3262
48,63,undirected,3587,0.2535
48,66,undirected,3590,0.3399
48,67,undirected,3591,0.3189
48,72,undirected,3596,0.2927
48,73,undirected,3597,0.2974
48,74,undirected,3598,0.2846
49,54,undirected,3629,0.3701
49,55,undirected,3630,0.2962
49,56,undirected,3631,0.2536
49,58,undirected,3633,0.3002
49,59,undirected,3634,0.4283
49,60,undirected,3635,0.2638
49,62,undirected,3637,0.2905
49,63,undirected,3638,0.2595
49,64,undirected,3639,0.2627
49,67,undirected,3642,0.2882
49,70,undirected,3645,0.2529
49,77,undirected,3652,0.2876
50,53,undirected,3678,0.5979
50,68,undirected,3693,0.2829
50,90,undirected,3715,0.2714
50,92,undirected,3717,0.3177
51,52,undirected,3726,0.2936
51,86,undirected,3760,-0.2887
52,60,undirected,3782,0.2683
53,60,undirected,3829,0.4096
53,68,undirected,3837,0.4531
53,90,undirected,3859,0.2527
54,55,undirected,3870,0.4537
54,56,undirected,3871,0.3392
54,58,undirected,3873,0.3372
54,59,undirected,3874,0.3881
54,62,undirected,3877,0.3428
54,63,undirected,3878,0.4185
54,70,undirected,3885,0.3042
54,95,undirected,3910,-0.2609
54,96,undirected,3911,-0.2651
55,56,undirected,3916,0.4726
55,57,undirected,3917,0.3194
55,58,undirected,3918,0.4151
55,62,undirected,3922,0.2822
55,63,undirected,3923,0.5898
55,64,undirected,3924,0.3360
55,66,undirected,3926,0.2838
55,70,undirected,3930,0.3399
55,72,undirected,3932,0.3072
55,75,undirected,3935,0.2778
55,76,undirected,3936,0.3177
56,57,undirected,3961,0.3740
56,58,undirected,3962,0.2867
56,63,undirected,3967,0.4161
56,64,undirected,3968,0.4841
56,65,undirected,3969,0.2697
56,71,undirected,3975,0.2524
56,72,undirected,3976,0.3604
56,77,undirected,3981,0.2598
57,58,undirected,4005,0.5535
57,63,undirected,4010,0.4155
57,64,undirected,4011,0.4941
57,65,undirected,4012,0.5125
57,66,undirected,4013,0.5358
57,67,undirected,4014,0.2615
57,71,undirected,4018,0.3680
57,72,undirected,4019,0.5091
57,73,undirected,4020,0.3883
57,76,undirected,4023,0.2909
57,84,undirected,4031,0.3416
57,89,undirected,4036,0.3222
58,59,undirected,4048,0.3522
58,62,undirected,4051,0.3138
58,63,undirected,4052,0.5207
58,64,undirected,4053,0.3913
58,65,undirected,4054,0.3163
58,66,undirected,4055,0.5460
58,67,undirected,4056,0.3472
58,70,undirected,4059,0.4153
58,71,undirected,4060,0.3738
58,72,undirected,4061,0.4166
58,73,undirected,4062,0.3022
58,75,undirected,4064,0.3285
58,76,undirected,4065,0.2847
59,60,undirected,4090,0.5064
59,61,undirected,4091,0.5400
59,62,undirected,4092,0.5659
59,66,undirected,4096,0.3259
59,67,undirected,4097,0.5415
59,69,undirected,4099,0.3470
59,70,undirected,4100,0.3895
59,73,undirected,4103,0.2971
59,74,undirected,4104,0.5497
60,61,undirected,4131,0.4424
60,62,undirected,4132,0.3885
60,67,undirected,4137,0.2955
60,68,undirected,4138,0.3006
60,74,undirected,4144,0.4240
60,88,undirected,4158,-0.2579
60,90,undirected,4160,0.3559
60,97,undirected,4167,-0.2737
61,62,undirected,4171,0.4884
61,67,undirected,4176,0.2550
61,69,undirected,4178,0.3965
61,74,undirected,4183,0.3853
61,83,undirected,4192,0.3006
61,86,undirected,4195,-0.2710
61,91,undirected,4200,0.2548
62,63,undirected,4210,0.3386
62,64,undirected,4211,0.3006
62,66,undirected,4213,0.2943
62,67,undirected,4214,0.3518
62,69,undirected,4216,0.2583
62,70,undirected,4217,0.3183
62,74,undirected,4221,0.4769
63,64,undirected,4248,0.5299
63,65,undirected,4249,0.2655
63,66,undirected,4250,0.4713
63,70,undirected,4254,0.4323
63,71,undirected,4255,0.4311
63,72,undirected,4256,0.4858
63,73,undirected,4257,0.2730
63,75,undirected,4259,0.3571
63,76,undirected,4260,0.3547
64,65,undirected,4285,0.4521
64,66,undirected,4286,0.4852
64,70,undirected,4290,0.2918
64,71,undirected,4291,0.4410
64,72,undirected,4292,0.5558
64,73,undirected,4293,0.3316
64,76,undirected,4296,0.2587
64,89,undirected,4309,0.3019
65,66,undirected,4321,0.6923
65,67,undirected,4322,0.3181
65,70,undirected,4325,0.3213
65,71,undirected,4326,0.6050
65,72,undirected,4327,0.7202
65,73,undirected,4328,0.6709
65,74,undirected,4329,0.3173
65,75,undirected,4330,0.2825
65,76,undirected,4331,0.5147
65,81,undirected,4336,0.3677
65,82,undirected,4337,0.2511
65,84,undirected,4339,0.4489
65,85,undirected,4340,0.2946
65,88,undirected,4343,0.4709
65,89,undirected,4344,0.4297
66,67,undirected,4356,0.5513
66,70,undirected,4359,0.5600
66,71,undirected,4360,0.6283
66,72,undirected,4361,0.7353
66,73,undirected,4362,0.6473
66,74,undirected,4363,0.4601
66,75,undirected,4364,0.4585
66,76,undirected,4365,0.5295
66,81,undirected,4370,0.2804
66,84,undirected,4373,0.3946
66,85,undirected,4374,0.3587
66,88,undirected,4377,0.4094
66,89,undirected,4378,0.4008
67,68,undirected,4390,0.4317
67,69,undirected,4391,0.2523
67,70,undirected,4392,0.5111
67,71,undirected,4393,0.3063
67,72,undirected,4394,0.4270
67,73,undirected,4395,0.5632
67,74,undirected,4396,0.6006
67,75,undirected,4397,0.4213
67,76,undirected,4398,0.4140
67,81,undirected,4403,0.2525
67,84,undirected,4406,0.2649
67,89,undirected,4411,0.2727
68,73,undirected,4427,0.2667
69,70,undirected,4455,0.3139
69,74,undirected,4459,0.2558
70,71,undirected,4486,0.4363
70,72,undirected,4487,0.4219
70,73,undirected,4488,0.4212
70,74,undirected,4489,0.3975
70,75,undirected,4490,0.5793
70,76,undirected,4491,0.4256
70,100,undirected,4515,-0.2689
71,72,undirected,4516,0.6372
71,73,undirected,4517,0.5634
71,74,undirected,4518,0.3223
71,75,undirected,4519,0.4590
71,76,undirected,4520,0.5578
71,84,undirected,4528,0.4051
71,85,undirected,4529,0.3476
71,88,undirected,4532,0.3203
71,89,undirected,4533,0.3204
71,94,undirected,4538,0.2915
72,73,undirected,4545,0.6609
72,74,undirected,4546,0.4233
72,75,undirected,4547,0.4046
72,76,undirected,4548,0.6326
72,78,undirected,4550,0.2590
72,81,undirected,4553,0.3303
72,84,undirected,4556,0.5028
72,85,undirected,4557,0.4024
72,88,undirected,4560,0.4085
72,89,undirected,4561,0.4494
72,94,undirected,4566,0.2634
73,74,undirected,4573,0.4818
73,75,undirected,4574,0.4204
73,76,undirected,4575,0.6156
73,80,undirected,4579,0.2934
73,81,undirected,4580,0.4626
73,84,undirected,4583,0.4914
73,85,undirected,4584,0.3572
73,88,undirected,4587,0.4646
73,89,undirected,4588,0.4612
74,76,undirected,4601,0.3014
74,77,undirected,4602,0.2531
74,78,undirected,4603,0.2864
74,79,undirected,4604,0.2524
74,80,undirected,4605,0.3285
74,81,undirected,4606,0.3582
74,82,undirected,4607,0.2690
75,76,undirected,4626,0.5719
75,82,undirected,4632,-0.2999
75,83,undirected,4633,-0.3842
75,84,undirected,4634,0.2616
75,85,undirected,4635,0.3269
75,86,undirected,4636,0.2598
75,93,undirected,4643,0.2537
75,100,undirected,4650,-0.3207
76,84,undirected,4658,0.4574
76,85,undirected,4659,0.4311
76,88,undirected,4662,0.3248
76,89,undirected,4663,0.4467
77,78,undirected,4675,0.6216
77,79,undirected,4676,0.5022
77,80,undirected,4677,0.5903
77,81,undirected,4678,0.6167
77,82,undirected,4679,0.4437
77,83,undirected,4680,0.7409
77,84,undirected,4681,0.3034
77,89,undirected,4686,0.2530
77,92,undirected,4689,0.2983
77,99,undirected,4696,0.3337
78,79,undirected,4698,0.7516
78,80,undirected,4699,0.6932
78,81,undirected,4700,0.7095
78,82,undirected,4701,0.5355
78,83,undirected,4702,0.6122
78,84,undirected,4703,0.4192
78,85,undirected,4704,0.3830
78,88,undirected,4707,0.3915
78,89,undirected,4708,0.4066
78,90,undirected,4709,0.3988
78,91,undirected,4710,0.2838
78,99,undirected,4718,0.2517
79,80,undirected,4720,0.8208
79,81,undirected,4721,0.7302
79,82,undirected,4722,0.5967
79,83,undirected,4723,0.6119
79,84,undirected,4724,0.2979
79,85,undirected,4725,0.2882
79,87,undirected,4727,0.2556
79,89,undirected,4729,0.2843
79,90,undirected,4730,0.4865
79,91,undirected,4731,0.3451
79,99,undirected,4739,0.3224
79,100,undirected,4740,0.3813
80,81,undirected,4741,0.8641
80,82,undirected,4742,0.6001
80,83,undirected,4743,0.6165
80,84,undirected,4744,0.2641
80,87,undirected,4747,0.2532
80,88,undirected,4748,0.3121
80,89,undirected,4749,0.3609
80,90,undirected,4750,0.4490
80,99,undirected,4759,0.4115
80,100,undirected,4760,0.3653
81,82,undirected,4761,0.7384
81,83,undirected,4762,0.5136
81,84,undirected,4763,0.4219
81,85,undirected,4764,0.3061
81,87,undirected,4766,0.2695
81,88,undirected,4767,0.5036
81,89,undirected,4768,0.4973
81,90,undirected,4769,0.4761
81,99,undirected,4778,0.3680
81,100,undirected,4779,0.3324
82,83,undirected,4780,0.4261
82,88,undirected,4785,0.2914
82,90,undirected,4787,0.4898
82,100,undirected,4797,0.4008
83,90,undirected,4804,0.3819
83,92,undirected,4806,0.3631
83,99,undirected,4813,0.3405
83,100,undirected,4814,0.4042
84,85,undirected,4815,0.6594
84,86,undirected,4816,0.3782
84,87,undirected,4817,0.3698
84,88,undirected,4818,0.6023
84,89,undirected,4819,0.6234
84,92,undirected,4822,0.2620
84,93,undirected,4823,0.5159
84,94,undirected,4824,0.4598
84,95,undirected,4825,0.2577
84,97,undirected,4827,0.2600
85,86,undirected,4831,0.5300
85,87,undirected,4832,0.4943
85,88,undirected,4833,0.6294
85,89,undirected,4834,0.5789
85,93,undirected,4838,0.4651
85,94,undirected,4839,0.4901
85,95,undirected,4840,0.3027
85,96,undirected,4841,0.3400
85,97,undirected,4842,0.4218
85,98,undirected,4843,0.3030
86,87,undirected,4846,0.6668
86,88,undirected,4847,0.3143
86,89,undirected,4848,0.2960
86,93,undirected,4852,0.5132
86,94,undirected,4853,0.2762
86,95,undirected,4854,0.2952
86,96,undirected,4855,0.2543
86,97,undirected,4856,0.2919
86,98,undirected,4857,0.4332
87,88,undirected,4860,0.5712
87,89,undirected,4861,0.4183
87,93,undirected,4865,0.4250
87,94,undirected,4866,0.3190
87,95,undirected,4867,0.3665
87,96,undirected,4868,0.3747
87,97,undirected,4869,0.4093
87,98,undirected,4870,0.4872
87,99,undirected,4871,0.2685
88,89,undirected,4873,0.6643
88,93,undirected,4877,0.3601
88,94,undirected,4878,0.3694
88,95,undirected,4879,0.2678
88,96,undirected,4880,0.2843
88,97,undirected,4881,0.4079
88,98,undirected,4882,0.3837
89,93,undirected,4888,0.3659
89,94,undirected,4889,0.2978
89,97,undirected,4892,0.2823
89,98,undirected,4893,0.4682
90,91,undirected,4896,0.4645
90,100,undirected,4905,0.4938
92,93,undirected,4915,0.4117
92,98,undirected,4920,0.2819
92,99,undirected,4921,0.3575
93,94,undirected,4923,0.4779
93,97,undirected,4926,0.3672
93,98,undirected,4927,0.4486
93,99,undirected,4928,0.2920
94,95,undirected,4930,0.4289
94,96,undirected,4931,0.3441
94,97,undirected,4932,0.4023
95,96,undirected,4936,0.5182
96,97,undirected,4941,0.4942
97,98,undirected,4945,0.4533
98,99,undirected,4948,0.4706
